dataset,sample_idx,label_value,dice_native,dice_ds,morphology,task_id,subject_index,fg_frac,ctx_dice,thinness,tortuosity,branching_density,region_size,boundary_complexity,scattered_count,scattered_clustering,task_ambiguity,boundary_amp_scale,boundary_sigma_frac,boundary_keep_largest,position_jitter,support_query_shift,support_query_translate,support_query_scale,foreground_contrast,texture_heterogeneity,noise_level,context_copy_fraction,context_consistency,task_ambiguity_intensity,axis_identification,axis_segmentation
synth/scattered/amb0.95,571,1,0.0,0.0,scattered,2699,3,0.04718017578125,0.010330578312277794,0.6043542319527766,0.35148950002521484,0.7334798461104739,0.3647838902967739,0.6746952095693612,13.0,0.07791330274245867,0.9564728440765748,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.9755836830508098
synth/scattered/amb0.95,572,1,0.025641025975346565,0.025641025975346565,scattered,2701,0,0.0093994140625,0.003508772080143293,0.6584251151460574,0.4985542302411252,0.3210581976059907,0.5143705707074395,0.5062571240552978,19.0,0.38718163811351725,0.9665474643529259,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.8984562439453161
synth/scattered/amb0.95,573,1,0.0,0.0,scattered,2701,1,0.01495361328125,0.0,0.6584251151460574,0.4985542302411252,0.3210581976059907,0.5143705707074395,0.5062571240552978,19.0,0.38718163811351725,0.9665474643529259,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.8984562439453161
synth/scattered/amb0.95,574,1,0.0,0.0,scattered,2701,2,0.0216064453125,0.0,0.6584251151460574,0.4985542302411252,0.3210581976059907,0.5143705707074395,0.5062571240552978,19.0,0.38718163811351725,0.9665474643529259,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.8984562439453161
synth/scattered/amb0.95,575,1,0.0,0.0,scattered,2701,3,0.00994873046875,0.018033364787697792,0.6584251151460574,0.4985542302411252,0.3210581976059907,0.5143705707074395,0.5062571240552978,19.0,0.38718163811351725,0.9665474643529259,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.8984562439453161
synth/tubular/amb0.95,576,1,0.30335214734077454,0.30335214734077454,tubular,2721,0,0.12908935546875,0.17520191272099814,0.47040652648521597,0.46788049610135607,0.5810407488609248,0.6129804897305231,0.4346670244675232,22.0,0.7004722738727783,0.9529750383746596,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9529750383746596,0.9873959211470335
synth/tubular/amb0.95,577,1,0.3040473759174347,0.3040473759174347,tubular,2721,1,0.05230712890625,0.14788024251659712,0.47040652648521597,0.46788049610135607,0.5810407488609248,0.6129804897305231,0.4346670244675232,22.0,0.7004722738727783,0.9529750383746596,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9529750383746596,0.9873959211470335
synth/tubular/amb0.95,578,1,0.40717947483062744,0.40717947483062744,tubular,2721,2,0.1343994140625,0.19269816080729166,0.47040652648521597,0.46788049610135607,0.5810407488609248,0.6129804897305231,0.4346670244675232,22.0,0.7004722738727783,0.9529750383746596,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9529750383746596,0.9873959211470335
synth/tubular/amb0.95,579,1,0.19073113799095154,0.19073113799095154,tubular,2721,3,0.28814697265625,0.07592140821119149,0.47040652648521597,0.46788049610135607,0.5810407488609248,0.6129804897305231,0.4346670244675232,22.0,0.7004722738727783,0.9529750383746596,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9529750383746596,0.9873959211470335
synth/annular/amb0.98,580,1,0.0,0.0,annular,2725,0,0.00054931640625,0.0,0.7715194635628512,0.6905677204573928,0.6936227530187145,0.1372751805498924,0.36849509742212344,21.0,0.06546037045480857,0.988504873724438,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.988504873724438,0.6011400297424483
synth/annular/amb0.98,581,1,0.0,0.0,annular,2725,1,0.0015869140625,0.0,0.7715194635628512,0.6905677204573928,0.6936227530187145,0.1372751805498924,0.36849509742212344,21.0,0.06546037045480857,0.988504873724438,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.988504873724438,0.6011400297424483
synth/annular/amb0.98,582,1,0.0,0.0,annular,2725,2,0.0057373046875,0.0,0.7715194635628512,0.6905677204573928,0.6936227530187145,0.1372751805498924,0.36849509742212344,21.0,0.06546037045480857,0.988504873724438,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.988504873724438,0.6011400297424483
synth/annular/amb0.98,583,1,0.0,0.0,annular,2725,3,0.007568359375,0.0,0.7715194635628512,0.6905677204573928,0.6936227530187145,0.1372751805498924,0.36849509742212344,21.0,0.06546037045480857,0.988504873724438,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.988504873724438,0.6011400297424483
synth/tubular/amb0.95,584,1,0.2788395881652832,0.2788395881652832,tubular,2750,0,0.2115478515625,0.13260616113742194,0.41035650361992004,0.27012099313860305,0.8313391145694728,0.5940791555755152,0.5018910209232612,10.0,0.6613977438451207,0.9495606596670422,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9495606596670422,0.996561130183491
synth/tubular/amb0.95,585,1,0.18903738260269165,0.18903738260269165,tubular,2750,1,0.12249755859375,0.27033058802286786,0.41035650361992004,0.27012099313860305,0.8313391145694728,0.5940791555755152,0.5018910209232612,10.0,0.6613977438451207,0.9495606596670422,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9495606596670422,0.996561130183491
synth/tubular/amb0.95,586,1,0.15908192098140717,0.15908192098140717,tubular,2750,2,0.22454833984375,0.07800004755457242,0.41035650361992004,0.27012099313860305,0.8313391145694728,0.5940791555755152,0.5018910209232612,10.0,0.6613977438451207,0.9495606596670422,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9495606596670422,0.996561130183491
synth/tubular/amb0.95,587,1,0.26573601365089417,0.26573601365089417,tubular,2750,3,0.3619384765625,0.10853601604079206,0.41035650361992004,0.27012099313860305,0.8313391145694728,0.5940791555755152,0.5018910209232612,10.0,0.6613977438451207,0.9495606596670422,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9495606596670422,0.996561130183491
synth/annular/amb0.86,588,1,0.0,0.0,annular,2757,0,0.003173828125,0.0,0.44739272252465334,0.504190485543031,0.4688241293254778,0.27489017751372935,0.49788491366315984,20.0,0.02682102633833927,0.8684798820145587,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8684798820145587,0.6316337747343294
synth/annular/amb0.86,589,1,0.0,0.0,annular,2757,1,0.0086669921875,0.0,0.44739272252465334,0.504190485543031,0.4688241293254778,0.27489017751372935,0.49788491366315984,20.0,0.02682102633833927,0.8684798820145587,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8684798820145587,0.6316337747343294
synth/annular/amb0.86,590,1,0.0,0.0,annular,2757,2,0.02288818359375,0.0,0.44739272252465334,0.504190485543031,0.4688241293254778,0.27489017751372935,0.49788491366315984,20.0,0.02682102633833927,0.8684798820145587,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8684798820145587,0.6316337747343294
synth/annular/amb0.86,591,1,0.0,0.0,annular,2757,3,0.0206298828125,0.0,0.44739272252465334,0.504190485543031,0.4688241293254778,0.27489017751372935,0.49788491366315984,20.0,0.02682102633833927,0.8684798820145587,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8684798820145587,0.6316337747343294
synth/blob/amb0.98,592,1,0.0,0.0,blob,2773,0,0.00262451171875,0.0,0.7711668242738805,0.3123333935185454,0.6167997452790634,0.21484820151529205,0.7665742362876904,21.0,0.31710937738389966,0.9768206014774021,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9768206014774021,0.7165240012719256
synth/blob/amb0.98,593,1,0.0,0.0,blob,2773,1,0.0030517578125,0.0,0.7711668242738805,0.3123333935185454,0.6167997452790634,0.21484820151529205,0.7665742362876904,21.0,0.31710937738389966,0.9768206014774021,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9768206014774021,0.7165240012719256
synth/blob/amb0.98,594,1,0.0,0.0,blob,2773,2,0.0054931640625,0.0,0.7711668242738805,0.3123333935185454,0.6167997452790634,0.21484820151529205,0.7665742362876904,21.0,0.31710937738389966,0.9768206014774021,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9768206014774021,0.7165240012719256
synth/blob/amb0.98,595,1,0.0,0.0,blob,2773,3,0.005126953125,0.0,0.7711668242738805,0.3123333935185454,0.6167997452790634,0.21484820151529205,0.7665742362876904,21.0,0.31710937738389966,0.9768206014774021,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9768206014774021,0.7165240012719256
synth/scattered/amb0.86,596,1,0.19120879471302032,0.19120879471302032,scattered,2788,0,0.03131103515625,0.02176933487256368,0.7106806155691774,0.7775228173539577,0.4027576862557311,0.5185424748746402,0.31474651004899323,12.0,0.5359549339557793,0.8691153023515314,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.839966797350838
synth/scattered/amb0.86,597,1,0.008605851791799068,0.008605851791799068,scattered,2788,1,0.0582275390625,0.033543508499860764,0.7106806155691774,0.7775228173539577,0.4027576862557311,0.5185424748746402,0.31474651004899323,12.0,0.5359549339557793,0.8691153023515314,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.839966797350838
synth/scattered/amb0.86,598,1,0.03835616260766983,0.03835616260766983,scattered,2788,2,0.04132080078125,0.042514028338094555,0.7106806155691774,0.7775228173539577,0.4027576862557311,0.5185424748746402,0.31474651004899323,12.0,0.5359549339557793,0.8691153023515314,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.839966797350838
synth/scattered/amb0.86,599,1,0.04640371352434158,0.04640371352434158,scattered,2788,3,0.011474609375,0.00977944714638094,0.7106806155691774,0.7775228173539577,0.4027576862557311,0.5185424748746402,0.31474651004899323,12.0,0.5359549339557793,0.8691153023515314,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.839966797350838
synth/annular/amb0.95,600,1,0.0,0.0,annular,2806,0,0.029541015625,0.07650384555260341,0.8342887263418692,0.2253936166140003,0.6414730053956939,0.5293879930104806,0.4668210207376439,12.0,0.16661705479379119,0.9601057412275263,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9601057412275263,0.582800194953951
synth/annular/amb0.95,601,1,0.0,0.0,annular,2806,1,0.0069580078125,0.0,0.8342887263418692,0.2253936166140003,0.6414730053956939,0.5293879930104806,0.4668210207376439,12.0,0.16661705479379119,0.9601057412275263,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9601057412275263,0.582800194953951
synth/annular/amb0.95,602,1,0.0,0.0,annular,2806,2,0.072998046875,0.005623721828063329,0.8342887263418692,0.2253936166140003,0.6414730053956939,0.5293879930104806,0.4668210207376439,12.0,0.16661705479379119,0.9601057412275263,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9601057412275263,0.582800194953951
synth/annular/amb0.95,603,1,0.12794612348079681,0.12794612348079681,annular,2806,3,0.0501708984375,0.013490725308656693,0.8342887263418692,0.2253936166140003,0.6414730053956939,0.5293879930104806,0.4668210207376439,12.0,0.16661705479379119,0.9601057412275263,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.9601057412275263,0.582800194953951
synth/blob/amb0.86,604,1,0.0,0.0,blob,2814,0,0.0086669921875,0.033970276514689125,0.3663218262909542,0.6633928878637121,0.7041824486842327,0.5885114733341799,0.8674872322585427,23.0,0.43049268384545547,0.8506928741897155,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8506928741897155,0.6850851002183648
synth/blob/amb0.86,605,1,0.0,0.0,blob,2814,1,0.07025146484375,0.13517755270004272,0.3663218262909542,0.6633928878637121,0.7041824486842327,0.5885114733341799,0.8674872322585427,23.0,0.43049268384545547,0.8506928741897155,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8506928741897155,0.6850851002183648
synth/blob/amb0.86,606,1,0.0,0.0,blob,2814,2,0.09912109375,0.19202928990125656,0.3663218262909542,0.6633928878637121,0.7041824486842327,0.5885114733341799,0.8674872322585427,23.0,0.43049268384545547,0.8506928741897155,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8506928741897155,0.6850851002183648
synth/blob/amb0.86,607,1,0.12332439422607422,0.12332439422607422,blob,2814,3,0.05230712890625,0.15473010142644247,0.3663218262909542,0.6633928878637121,0.7041824486842327,0.5885114733341799,0.8674872322585427,23.0,0.43049268384545547,0.8506928741897155,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8506928741897155,0.6850851002183648
synth/scattered/amb0.95,608,1,0.08695652335882187,0.08695652335882187,scattered,2838,0,0.016357421875,0.0,0.35915464281466575,0.8088061651535841,0.6005031786280532,0.12862909682730678,0.8982426904929128,9.0,0.9271655951252689,0.9593657396185753,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,1.0
synth/scattered/amb0.95,609,1,0.0,0.0,scattered,2838,1,0.01495361328125,0.03364879141251246,0.35915464281466575,0.8088061651535841,0.6005031786280532,0.12862909682730678,0.8982426904929128,9.0,0.9271655951252689,0.9593657396185753,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,1.0
synth/scattered/amb0.95,610,1,0.0,0.0,scattered,2838,2,0.012451171875,0.0,0.35915464281466575,0.8088061651535841,0.6005031786280532,0.12862909682730678,0.8982426904929128,9.0,0.9271655951252689,0.9593657396185753,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,1.0
