class,obj_vox,real_dice,tier,res,mode,tier_native_res,K,auroc,ap,transfer_dice,transfer_precision,transfer_recall,margin,retrieval_at1
aorta,61606,,backbone,16,dense,24,1,0.957421600818634,,0.2555074393749237,0.2648018002510071,0.24684344232082367,0.029839929193258286,0.33576643466949463
aorta,61606,,backbone,24,dense,24,1,0.9510915279388428,,0.34673577547073364,0.5731620788574219,0.24854762852191925,-0.002202980685979128,0.19661016762256622
aorta,13095,,backbone,16,dense,24,1,0.9570999145507812,,0.10591087490320206,0.21905161440372467,0.06983890384435654,0.05534779280424118,0.28947368264198303
aorta,13095,,backbone,24,dense,24,1,0.9090136885643005,,0.3789295554161072,0.5056418180465698,0.30299896001815796,0.023217061534523964,0.30337080359458923
aorta,33457,,backbone,16,dense,24,1,0.5814558863639832,,0.11132575571537018,0.10810466855764389,0.11474468559026718,0.11174051463603973,0.7162162065505981
aorta,33457,,backbone,24,dense,24,1,0.6091643571853638,,0.32434314489364624,0.21976453065872192,0.6188181042671204,0.09063967317342758,0.6573033928871155
aorta,28594,,backbone,16,dense,24,1,0.8899376392364502,,0.19437389075756073,0.5949415564537048,0.11616277694702148,0.09531538188457489,0.1780821979045868
aorta,28594,,backbone,24,dense,24,1,0.8973623514175415,,0.362631618976593,0.5285959243774414,0.27598124742507935,0.08032131940126419,0.2675159275531769
aorta,19789,,backbone,16,dense,24,1,0.9830485582351685,,0.31513485312461853,0.24814672768115997,0.43166419863700867,0.17957313358783722,0.8235294222831726
aorta,19789,,backbone,24,dense,24,1,0.9488649964332581,,0.3540772795677185,0.24599134922027588,0.6315920352935791,0.16908234357833862,0.7747747898101807
aorta,72384,,backbone,16,dense,24,1,0.9245913624763489,,0.38238653540611267,0.3331395089626312,0.4487193822860718,0.1363166868686676,0.5
aorta,72384,,backbone,24,dense,24,1,0.9238846302032471,,0.46377697587013245,0.416574627161026,0.5230433344841003,0.12146427482366562,0.4298507571220398
aorta,22636,,backbone,16,dense,24,1,0.9398607015609741,,0.001628993428312242,0.008379925042390823,0.0009021857404150069,0.08003656566143036,0.04838709533214569
aorta,22636,,backbone,24,dense,24,1,0.9343138933181763,,0.007970571517944336,0.33564308285713196,0.0040331739000976086,0.046320535242557526,0.04273504391312599
aorta,127038,,backbone,16,dense,24,1,0.9338042140007019,,0.383473664522171,0.2996878921985626,0.5322893857955933,0.1666778326034546,0.6834862232208252
aorta,127038,,backbone,24,dense,24,1,0.9411500096321106,,0.47906118631362915,0.35906627774238586,0.719511866569519,0.1457797735929489,0.7355679869651794
aorta,52326,,backbone,16,dense,24,1,0.9669203162193298,,0.26934587955474854,0.33233073353767395,0.22643153369426727,0.05977638065814972,0.39024388790130615
aorta,52326,,backbone,24,dense,24,1,0.9577895402908325,,0.5386776924133301,0.5815616250038147,0.5016838908195496,0.051959823817014694,0.46691176295280457
aorta,26022,,backbone,16,dense,24,1,0.752081036567688,,0.20847301185131073,0.20019441843032837,0.2174658179283142,0.1319509595632553,0.3174603283405304
aorta,26022,,backbone,24,dense,24,1,0.7561261057853699,,0.2361161708831787,0.20012977719306946,0.2878817021846771,0.1137300580739975,0.21641790866851807
aorta,23492,,backbone,16,dense,24,1,0.7583551406860352,,0.13980932533740997,0.21054013073444366,0.10465166717767715,0.17304489016532898,0.5454545021057129
aorta,23492,,backbone,24,dense,24,1,0.7503216862678528,,0.2673920691013336,0.48810669779777527,0.18413083255290985,0.13568313419818878,0.3445378243923187
aorta,90085,,backbone,16,dense,24,1,0.941129207611084,,0.14125823974609375,0.1465427428483963,0.13634160161018372,0.17163553833961487,0.48466256260871887
aorta,90085,,backbone,24,dense,24,1,0.9418580532073975,,0.1303359866142273,0.20365633070468903,0.09583388268947601,0.15409034490585327,0.24875621497631073
aorta,35107,,backbone,16,dense,24,1,0.2915605306625366,,0.0,0.0,0.0,0.15401306748390198,0.0
aorta,35107,,backbone,24,dense,24,1,0.3056965470314026,,0.0008334841695614159,0.03222231566905975,0.0004222025745548308,0.12460605055093765,0.033898305147886276
aorta,68595,,backbone,16,dense,24,1,0.871867835521698,,0.1705474704504013,0.17733588814735413,0.1642596274614334,0.1588197499513626,0.3769230842590332
aorta,68595,,backbone,24,dense,24,1,0.9289413690567017,,0.44657063484191895,0.5014289021492004,0.40253204107284546,0.13976243138313293,0.42258062958717346
atrial_appendage_left,963,,backbone,16,dense,24,1,0.9771357774734497,,0.11020991951227188,0.0700911357998848,0.2577287256717682,0.11970614641904831,0.5
atrial_appendage_left,963,,backbone,24,dense,24,1,0.9313678741455078,,0.0743183121085167,0.04893416911363602,0.15442465245723724,0.10967665165662766,0.5555555820465088
atrial_appendage_left,2014,,backbone,16,dense,24,1,0.9481609463691711,,0.026859162375330925,0.0157926045358181,0.08975281566381454,0.12374778836965561,0.5555555820465088
atrial_appendage_left,2014,,backbone,24,dense,24,1,0.9866979122161865,,0.09910108894109726,0.0544498935341835,0.5506901144981384,0.12343839555978775,0.45000001788139343
atrial_appendage_left,1102,,backbone,16,dense,24,1,0.9985135197639465,,0.0,0.0,0.0,0.0742933377623558,0.0
atrial_appendage_left,1102,,backbone,24,dense,24,1,0.9978557229042053,,0.13079257309436798,0.25065773725509644,0.08848081529140472,0.08024915307760239,0.1666666716337204
atrial_appendage_left,3784,,backbone,16,dense,24,1,0.993986189365387,,0.0,0.0,0.0,0.09851203113794327,0.0
atrial_appendage_left,3784,,backbone,24,dense,24,1,0.9898195266723633,,0.15634916722774506,0.21245177090168,0.12368690222501755,0.10864634066820145,0.25806450843811035
atrial_appendage_left,1687,,backbone,16,dense,24,1,0.9014936089515686,,0.005929715931415558,0.015046295709908009,0.003692452097311616,0.13066087663173676,0.0833333358168602
atrial_appendage_left,1687,,backbone,24,dense,24,1,0.7778080701828003,,0.15173391997814178,0.10629671812057495,0.26501718163490295,0.11487247049808502,0.3333333432674408
atrial_appendage_left,2902,,backbone,16,dense,24,1,0.9985663890838623,,0.03288254886865616,0.0609908327460289,0.022509021684527397,0.2897113263607025,1.0
atrial_appendage_left,2902,,backbone,24,dense,24,1,0.983989953994751,,0.05511072650551796,0.0701129287481308,0.04539703205227852,0.18406502902507782,0.1599999964237213
atrial_appendage_left,2160,,backbone,16,dense,24,1,0.9909216165542603,,0.052317798137664795,0.1145833358168602,0.03389757126569748,0.08381453156471252,0.06666667014360428
atrial_appendage_left,2160,,backbone,24,dense,24,1,0.9894777536392212,,0.044962313026189804,0.08827966451644897,0.03016221709549427,0.08838014304637909,0.2083333432674408
atrial_appendage_left,2557,,backbone,16,dense,24,1,0.48739704489707947,,0.0,0.0,0.0,0.13409371674060822,0.0
atrial_appendage_left,2557,,backbone,24,dense,24,1,0.5004562139511108,,0.0,0.0,0.0,0.12861616909503937,0.0
atrial_appendage_left,4750,,backbone,16,dense,24,1,0.9817060828208923,,0.009165415540337563,0.16702941060066223,0.004711988382041454,0.1737024337053299,0.2142857313156128
atrial_appendage_left,4750,,backbone,24,dense,24,1,0.9583128690719604,,0.011991700157523155,0.13784903287887573,0.0062685031443834305,0.1383574903011322,0.1944444477558136
autochthon_left,93946,,backbone,16,dense,24,1,0.9310896396636963,,0.4066289961338043,0.5011979341506958,0.34208279848098755,0.09876210987567902,0.39855071902275085
autochthon_left,93946,,backbone,24,dense,24,1,0.9133959412574768,,0.39945948123931885,0.543590784072876,0.315741628408432,0.11627691984176636,0.42406877875328064
autochthon_left,120359,,backbone,16,dense,24,1,0.9473048448562622,,0.46332764625549316,0.3821507692337036,0.5882935523986816,0.13400763273239136,0.6971428394317627
autochthon_left,120359,,backbone,24,dense,24,1,0.9657152891159058,,0.5268298387527466,0.46553757786750793,0.6067085266113281,0.15704287588596344,0.7225950956344604
autochthon_left,83149,,backbone,16,dense,24,1,0.9229307174682617,,0.49558407068252563,0.45568931102752686,0.5431345105171204,0.09078503400087357,0.6842105388641357
autochthon_left,83149,,backbone,24,dense,24,1,0.9342940449714661,,0.5540339946746826,0.5005278587341309,0.6203489899635315,0.09635047614574432,0.6984615325927734
autochthon_left,118630,,backbone,16,dense,24,1,0.8895617723464966,,0.3696364760398865,0.5655198693275452,0.2745414972305298,0.059158895164728165,0.35428571701049805
autochthon_left,118630,,backbone,24,dense,24,1,0.9142265319824219,,0.5465642809867859,0.597586989402771,0.5035689473152161,0.08195893466472626,0.5279642343521118
autochthon_left,143501,,backbone,16,dense,24,1,0.8583176732063293,,0.06615939736366272,0.05126962065696716,0.09323754161596298,0.13081681728363037,0.27918779850006104
autochthon_left,143501,,backbone,24,dense,24,1,0.9352017045021057,,0.26639866828918457,0.24173757433891296,0.2966630160808563,0.10837927460670471,0.36758893728256226
autochthon_left,74003,,backbone,16,dense,24,1,0.9642214775085449,,0.2535554766654968,0.44470152258872986,0.17733259499073029,0.043626416474580765,0.41726619005203247
autochthon_left,74003,,backbone,24,dense,24,1,0.9538289308547974,,0.28999102115631104,0.5245802998542786,0.2003815472126007,0.05460770055651665,0.2924528121948242
autochthon_left,103424,,backbone,16,dense,24,1,0.9421315789222717,,0.044749561697244644,0.3968835175037384,0.023711547255516052,0.04248503968119621,0.1753246784210205
autochthon_left,103424,,backbone,24,dense,24,1,0.9379947185516357,,0.08937027305364609,0.5031233429908752,0.04904070869088173,0.049978531897068024,0.17402596771717072
autochthon_left,121508,,backbone,16,dense,24,1,0.7786627411842346,,0.27109426259994507,0.45188361406326294,0.19362777471542358,0.08508094400167465,0.42777779698371887
autochthon_left,121508,,backbone,24,dense,24,1,0.8514320254325867,,0.21731778979301453,0.5221678018569946,0.13721150159835815,0.07443922758102417,0.260869562625885
autochthon_left,101936,,backbone,16,dense,24,1,0.7129431366920471,,0.38849711418151855,0.4833594858646393,0.324760764837265,0.10418853908777237,0.4761904776096344
autochthon_left,101936,,backbone,24,dense,24,1,0.7832621932029724,,0.5141395926475525,0.5342944860458374,0.495449960231781,0.11694870889186859,0.6524064540863037
autochthon_left,95716,,backbone,16,dense,24,1,0.8956612944602966,,0.41605323553085327,0.5381459593772888,0.33911579847335815,0.10062791407108307,0.37142857909202576
autochthon_left,95716,,backbone,24,dense,24,1,0.8958145976066589,,0.5461645722389221,0.6077130436897278,0.49593666195869446,0.11354238539934158,0.5945945978164673
autochthon_left,10836,,backbone,16,dense,24,1,0.9596592783927917,,0.1425335556268692,0.09140201658010483,0.3235088288784027,0.06194270774722099,0.38461539149284363
autochthon_left,10836,,backbone,24,dense,24,1,0.8968949317932129,,0.17613834142684937,0.10203976929187775,0.6432479023933411,0.08725959062576294,0.596774160861969
autochthon_left,149138,,backbone,16,dense,24,1,0.8797230124473572,,0.5545138716697693,0.542850911617279,0.5666888952255249,0.10671275854110718,0.6733668446540833
autochthon_left,149138,,backbone,24,dense,24,1,0.9211289882659912,,0.5793152451515198,0.5338119864463806,0.6332990527153015,0.1409893035888672,0.7159308791160583
autochthon_left,131004,,backbone,16,dense,24,1,0.6872796416282654,,0.1776464581489563,0.18080244958400726,0.17459876835346222,0.05207334831357002,0.2261904776096344
autochthon_left,131004,,backbone,24,dense,24,1,0.7655328512191772,,0.27318525314331055,0.3294677138328552,0.23332643508911133,0.058151211589574814,0.18625277280807495
autochthon_left,130034,,backbone,16,dense,24,1,0.8913335204124451,,0.03466704115271568,0.24505095183849335,0.01865292340517044,0.099873848259449,0.125
autochthon_left,130034,,backbone,24,dense,24,1,0.8998901844024658,,0.08173582702875137,0.25098252296447754,0.04881684482097626,0.11628059297800064,0.16771487891674042
autochthon_left,84390,,backbone,16,dense,24,1,0.9149974584579468,,0.529962956905365,0.6253241896629333,0.4598381817340851,0.055707864463329315,0.4513888955116272
autochthon_left,84390,,backbone,24,dense,24,1,0.9241104125976562,,0.6225163340568542,0.6294001936912537,0.6157814264297485,0.07628064602613449,0.6329479813575745
autochthon_left,123601,,backbone,16,dense,24,1,0.9327425956726074,,0.33958959579467773,0.4033162593841553,0.2932536005973816,0.06302513182163239,0.44252872467041016
autochthon_left,123601,,backbone,24,dense,24,1,0.9410386681556702,,0.5135968327522278,0.5542005300521851,0.4785366356372833,0.07972202450037003,0.5565217137336731
autochthon_left,115349,,backbone,16,dense,24,1,0.9549168944358826,,0.3955898582935333,0.36115097999572754,0.43728914856910706,0.06764411926269531,0.5314685106277466
autochthon_left,115349,,backbone,24,dense,24,1,0.9466578960418701,,0.548556923866272,0.49181121587753296,0.6201053261756897,0.08911000192165375,0.7077294588088989
autochthon_left,73361,,backbone,16,dense,24,1,0.903329610824585,,0.15559440851211548,0.21700258553028107,0.12127546221017838,0.053906261920928955,0.2971014678478241
autochthon_left,73361,,backbone,24,dense,24,1,0.9112316966056824,,0.3018627464771271,0.4321228563785553,0.23194478452205658,0.05012348294258118,0.4006410241127014
autochthon_left,122052,,backbone,16,dense,24,1,0.7901315689086914,,0.11889167129993439,0.1714615821838379,0.0909932553768158,0.10187699645757675,0.19512194395065308
autochthon_left,122052,,backbone,24,dense,24,1,0.8323717713356018,,0.1122395396232605,0.20921269059181213,0.07669177651405334,0.1140032410621643,0.19679632782936096
autochthon_left,66707,,backbone,16,dense,24,1,0.8527153730392456,,0.171371728181839,0.15988489985466003,0.18463687598705292,0.04825776442885399,0.47457626461982727
autochthon_left,66707,,backbone,24,dense,24,1,0.8584840297698975,,0.3285360336303711,0.32240331172943115,0.33490660786628723,0.052380651235580444,0.4485049843788147
autochthon_right,95250,,backbone,16,dense,24,1,0.9428766369819641,,0.4943304657936096,0.39676007628440857,0.6555392742156982,0.11713585257530212,0.7866666913032532
autochthon_right,95250,,backbone,24,dense,24,1,0.9218257665634155,,0.5968294143676758,0.499030202627182,0.7423054575920105,0.11592986434698105,0.8058510422706604
