run_id,run_name,description,epoch,class,in_train,subject,ctx_cases,self_ctx,dice,nsd,soft_dice,loss,time_ms,tgt_size,tgt_occ,ctx_size,ctx_occ,spacing,synth_size,detail
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1024,s0675,False,0.6722,,0.6672,0.34450581669807434,26.6,7013.0,0.003344,3349.0,0.001597,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1305,s1059,False,0.8096,,0.8058,0.19754837453365326,26.6,4078.0,0.001945,1355.0,0.000646,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1233,s1046,False,0.7757,,0.772,0.23372478783130646,26.6,5054.0,0.00241,6864.0,0.003273,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1238,s0618,False,0.798,,0.7825,0.22247736155986786,26.6,5794.0,0.002763,2335.0,0.001113,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s0760,s1197,False,0.8151,,0.8022,0.20077486336231232,26.7,4850.0,0.002313,1349.0,0.000643,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s0546,s0824,False,0.8707,,0.8615,0.1419907510280609,26.6,7410.0,0.003533,2220.0,0.001059,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1197,s0324,False,0.6601,,0.6522,0.3510221242904663,26.6,1349.0,0.000643,3629.0,0.00173,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0021,s1046,False,0.7709,,0.7596,0.242745503783226,26.6,1976.0,0.000942,6980.0,0.003328,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0832,s1337,False,0.7809,,0.7783,0.22451719641685486,26.6,1665.0,0.000794,5937.0,0.002831,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0032,s1161,False,0.671,,0.6609,0.3448192775249481,26.6,2455.0,0.001171,8799.0,0.004196,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0572,s1286,False,0.4522,,0.4463,0.559266209602356,32.3,683.0,0.000326,1312.0,0.000626,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0045,s0794,False,0.8592,,0.8556,0.1483817994594574,26.7,5079.0,0.002422,5701.0,0.002718,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0808,s0546,False,0.7326,,0.7249,0.2786196768283844,26.6,2599.0,0.001239,7609.0,0.003628,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s0747,s0032,False,0.6212,,0.6164,0.3926313519477844,26.6,3609.0,0.001721,2455.0,0.001171,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s1238,s0675,False,0.8538,,0.8401,0.16305138170719147,26.7,6175.0,0.002944,3059.0,0.001459,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_right,False,s1017,s0032,False,0.8161,,0.8074,0.19457200169563293,26.6,2759.0,0.001316,2455.0,0.001171,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s0747,s1017,False,0.0042,,0.0,1.0015945434570312,26.6,86.0,4.1e-05,83.0,4e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s1337,s1059,False,0.5301,,0.5133,0.4869510233402252,26.6,58.0,2.8e-05,71.0,3.4e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s1305,s0618,False,0.0095,,0.0001,1.0004092454910278,26.6,43.0,2.1e-05,47.0,2.2e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s0918,s0346,False,0.2774,,0.272,0.7283012866973877,26.6,65.0,3.1e-05,50.0,2.4e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s1197,s0918,False,0.2137,,0.2442,0.7564085125923157,26.6,97.0,4.6e-05,65.0,3.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_trunk,True,s0874,s1161,False,0.2534,,0.2418,0.7588203549385071,26.5,93.0,4.4e-05,86.0,4.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_left,False,s1046,s1199,False,0.3523,,0.3565,0.6444176435470581,26.6,175.0,8.3e-05,106.0,5.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_left,False,s0794,s1223,False,0.0288,,0.0283,0.9739291071891785,26.6,255.0,0.000122,120.0,5.7e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_left,False,s0794,s0466,False,0.1941,,0.186,0.8158392310142517,26.6,255.0,0.000122,61.0,2.9e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_left,False,s0650,s1046,False,0.7063,,0.7001,0.3002244532108307,26.6,212.0,0.000101,175.0,8.3e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_right,False,s0650,s1199,False,0.164,,0.1658,0.8348351716995239,26.6,74.0,3.5e-05,65.0,3.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_right,False,s0572,s1046,False,0.049,,0.039,0.9612777829170227,26.6,2.0,1e-06,90.0,4.3e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_right,False,s0867,s0794,False,0.9142,,0.8932,0.10686205327510834,26.6,111.0,5.3e-05,121.0,5.8e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_right,False,s0918,s0808,False,0.5628,,0.5404,0.4598333239555359,26.6,82.0,3.9e-05,62.0,3e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brachiocephalic_vein_right,False,s0625,s1223,False,0.2143,,0.2114,0.7890461087226868,26.6,55.0,2.6e-05,43.0,2.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s1059,s0572,False,0.9011,,0.8972,0.1036640852689743,26.6,1500.0,0.000715,1466.0,0.000699,4.24,,ct ct<-ct
