class,obj_vox,real_dice,tier,res,mode,tier_native_res,K,auroc,ap,transfer_dice,transfer_precision,transfer_recall,margin,retrieval_at1
autochthon_left,57264,,backbone,16,dense,24,1,0.9214137196540833,,0.4012751877307892,0.4610244929790497,0.3552362024784088,0.1556411236524582,0.598214328289032
autochthon_left,57264,,backbone,24,dense,24,1,0.948642373085022,,0.4744860529899597,0.5050375461578369,0.44742003083229065,0.13665328919887543,0.6716980934143066
autochthon_left,46671,,backbone,16,dense,24,1,0.95890212059021,,0.38576847314834595,0.3367038667201996,0.4515717029571533,0.17362937331199646,0.7752808928489685
autochthon_left,46671,,backbone,24,dense,24,1,0.9544537663459778,,0.591172456741333,0.512900173664093,0.6976369619369507,0.15317891538143158,0.7401961088180542
autochthon_left,56800,,backbone,16,dense,24,1,0.9189586639404297,,0.4259723424911499,0.4367550313472748,0.4157092869281769,0.12338101863861084,0.3921568691730499
autochthon_left,56800,,backbone,24,dense,24,1,0.9110224843025208,,0.46872827410697937,0.4264187812805176,0.5203585624694824,0.1062888354063034,0.5830115675926208
autochthon_left,63257,,backbone,16,dense,24,1,0.9484565258026123,,0.3560755252838135,0.38742947578430176,0.329416424036026,0.16050764918327332,0.49473685026168823
autochthon_left,63257,,backbone,24,dense,24,1,0.9528762102127075,,0.6011271476745605,0.5551633834838867,0.6553889513015747,0.13205291330814362,0.6321839094161987
autochthon_right,67226,,backbone,16,dense,24,1,0.9631878137588501,,0.48870405554771423,0.4957994818687439,0.48180893063545227,0.13481664657592773,0.7117117047309875
autochthon_right,67226,,backbone,24,dense,24,1,0.9344820380210876,,0.5893463492393494,0.5437358617782593,0.6433094143867493,0.12153065204620361,0.7977527976036072
autochthon_right,58630,,backbone,16,dense,24,1,0.8874143362045288,,0.2831183969974518,0.30258235335350037,0.2660072147846222,0.09106074273586273,0.38235294818878174
autochthon_right,58630,,backbone,24,dense,24,1,0.9054164290428162,,0.4851579964160919,0.4574676752090454,0.5164164900779724,0.09426485747098923,0.47735193371772766
autochthon_right,43732,,backbone,16,dense,24,1,0.8906382322311401,,0.3012915551662445,0.35629069805145264,0.2610017657279968,0.11250772327184677,0.5747126340866089
autochthon_right,43732,,backbone,24,dense,24,1,0.8961906433105469,,0.5031082630157471,0.44554391503334045,0.5777542591094971,0.10798193514347076,0.7400000095367432
autochthon_right,57498,,backbone,16,dense,24,1,0.9441267251968384,,0.41050606966018677,0.38897615671157837,0.43455901741981506,0.13564449548721313,0.5576923489570618
autochthon_right,57498,,backbone,24,dense,24,1,0.9351417422294617,,0.49291157722473145,0.4337380826473236,0.5707814693450928,0.12292050570249557,0.8277153372764587
autochthon_right,68365,,backbone,16,dense,24,1,0.9332737922668457,,0.5400220155715942,0.5192118883132935,0.5625699758529663,0.09993252903223038,0.5754716992378235
autochthon_right,68365,,backbone,24,dense,24,1,0.9143705368041992,,0.5950403213500977,0.6267204284667969,0.5664089322090149,0.09702294319868088,0.5551470518112183
brachiocephalic_trunk,1268,,backbone,16,dense,24,1,0.9984614253044128,,0.06377222388982773,0.21238423883914948,0.03751898929476738,0.2846549153327942,0.1818181872367859
brachiocephalic_trunk,1268,,backbone,24,dense,24,1,0.9976772665977478,,0.2168302983045578,0.33677130937576294,0.1598866879940033,0.24965256452560425,0.25
brachiocephalic_trunk,611,,backbone,16,dense,24,1,0.9991528391838074,,0.00033474035444669425,0.10242877900600433,0.0001676441024756059,0.22910591959953308,0.25
brachiocephalic_trunk,611,,backbone,24,dense,24,1,0.9991152882575989,,0.06924200803041458,0.05154374986886978,0.10544957220554352,0.2031470686197281,0.3636363744735718
brachiocephalic_vein_left,2588,,backbone,16,dense,24,1,0.9948105216026306,,0.12631161510944366,0.14684616029262543,0.11081550270318985,0.22911770641803741,0.4117647111415863
brachiocephalic_vein_left,2588,,backbone,24,dense,24,1,0.991786777973175,,0.2486112117767334,0.24420978128910065,0.25317421555519104,0.18713481724262238,0.5999999642372131
brachiocephalic_vein_left,1690,,backbone,16,dense,24,1,0.9982100129127502,,0.09685380756855011,0.08690432459115982,0.10937602818012238,0.20771954953670502,0.5384615659713745
brachiocephalic_vein_left,1690,,backbone,24,dense,24,1,0.9989604949951172,,0.25213301181793213,0.2426159530878067,0.2624271810054779,0.1463526338338852,0.5714285969734192
brachiocephalic_vein_right,1369,,backbone,16,dense,24,1,0.9929689764976501,,0.040723346173763275,0.04260838404297829,0.03899803385138512,0.25885236263275146,0.27272728085517883
brachiocephalic_vein_right,1369,,backbone,24,dense,24,1,0.9977157115936279,,0.23558169603347778,0.2509499490261078,0.22198714315891266,0.22093844413757324,0.5833333730697632
brachiocephalic_vein_right,988,,backbone,16,dense,24,1,0.9990404844284058,,0.12872552871704102,0.10544183105230331,0.1652064323425293,0.23963990807533264,0.75
brachiocephalic_vein_right,988,,backbone,24,dense,24,1,0.9989766478538513,,0.1631304770708084,0.18105468153953552,0.14843551814556122,0.19750438630580902,0.5
clavicula_left,3983,,backbone,16,dense,24,1,0.9959880113601685,,0.20376764237880707,0.24372348189353943,0.1750672459602356,0.23693206906318665,0.30000001192092896
clavicula_left,3983,,backbone,24,dense,24,1,0.996785581111908,,0.3585466742515564,0.4415009319782257,0.3018345534801483,0.21194659173488617,0.7105263471603394
clavicula_left,2959,,backbone,16,dense,24,1,0.9974687695503235,,0.2588847279548645,0.20938807725906372,0.3390261232852936,0.20169402658939362,0.8571429252624512
clavicula_left,2959,,backbone,24,dense,24,1,0.9968516826629639,,0.40560370683670044,0.3566318154335022,0.47016584873199463,0.19890102744102478,0.6666666865348816
clavicula_right,3786,,backbone,16,dense,24,1,0.9977255463600159,,0.1853339523077011,0.22631920874118805,0.15691706538200378,0.24782736599445343,0.6428571939468384
clavicula_right,3786,,backbone,24,dense,24,1,0.9988374710083008,,0.3051285147666931,0.43295660614967346,0.23557597398757935,0.2168847918510437,0.65625
clavicula_right,3777,,backbone,16,dense,24,1,0.9930509924888611,,0.1723320037126541,0.15644219517707825,0.1918146014213562,0.2024509608745575,0.6315789222717285
clavicula_right,3777,,backbone,24,dense,24,1,0.9904080629348755,,0.386064738035202,0.3176406919956207,0.4920613169670105,0.20787662267684937,0.8048779964447021
colon,163500,,backbone,16,dense,24,1,0.7128688097000122,,0.13959285616874695,0.1854342222213745,0.11192401498556137,0.1471099555492401,0.3735294044017792
colon,163500,,backbone,24,dense,24,1,0.6852135062217712,,0.21732057631015778,0.2749755084514618,0.1796523481607437,0.12573273479938507,0.4403443932533264
colon,61088,,backbone,16,dense,24,1,0.9263890981674194,,0.20481471717357635,0.14773179590702057,0.33378949761390686,0.19037994742393494,0.8520710468292236
colon,61088,,backbone,24,dense,24,1,0.9410473704338074,,0.31407424807548523,0.23024441301822662,0.49389779567718506,0.1653066724538803,0.7647058963775635
colon,86085,,backbone,16,dense,24,1,0.9654569625854492,,0.2769816517829895,0.25994420051574707,0.29640915989875793,0.2645081877708435,0.7098214626312256
colon,86085,,backbone,24,dense,24,1,0.9698191285133362,,0.4049012064933777,0.4329243004322052,0.3802854120731354,0.2146613597869873,0.6053215265274048
colon,115709,,backbone,16,dense,24,1,0.9637134671211243,,0.38555967807769775,0.4444367587566376,0.34045737981796265,0.21235506236553192,0.6706349849700928
colon,115709,,backbone,24,dense,24,1,0.9768307209014893,,0.5696585178375244,0.5744644999504089,0.5649322271347046,0.16407236456871033,0.6080645322799683
colon,39252,,backbone,16,dense,24,1,0.9394798278808594,,0.1283370852470398,0.20805564522743225,0.09278543293476105,0.07940048724412918,0.18018019199371338
colon,39252,,backbone,24,dense,24,1,0.9418702721595764,,0.25718334317207336,0.35460165143013,0.20175579190254211,0.0527699775993824,0.18918919563293457
common_carotid_artery_left,905,,backbone,16,dense,24,1,0.9977871775627136,,0.023678584024310112,0.05336858704686165,0.015214473009109497,0.27088111639022827,0.3333333432674408
common_carotid_artery_left,905,,backbone,24,dense,24,1,0.9977777004241943,,0.06068451702594757,0.157470703125,0.03758416697382927,0.21183587610721588,0.25
common_carotid_artery_left,544,,backbone,16,dense,24,1,0.9883812069892883,,0.040204063057899475,0.03710903972387314,0.04386233910918236,0.1765485554933548,0.5555555820465088
common_carotid_artery_left,544,,backbone,24,dense,24,1,0.9926628470420837,,0.08517956733703613,0.0775880366563797,0.09441779553890228,0.16523678600788116,0.5833333730697632
common_carotid_artery_right,574,,backbone,16,dense,24,1,0.9972714185714722,,0.03572710603475571,0.029475875198841095,0.0453435480594635,0.2991207540035248,0.625
common_carotid_artery_right,574,,backbone,24,dense,24,1,0.9987977147102356,,0.02812584489583969,0.03712611645460129,0.022637875750660896,0.2527462840080261,0.25
common_carotid_artery_right,350,,backbone,16,dense,24,1,0.997887372970581,,0.023753665387630463,0.01793644204735756,0.03515542298555374,0.25856107473373413,0.5714285969734192
common_carotid_artery_right,350,,backbone,24,dense,24,1,0.9964073300361633,,0.0,0.0,0.0,0.18861910700798035,0.0
costal_cartilages,22475,,backbone,16,dense,24,1,0.9539884924888611,,0.006049330811947584,0.028842877596616745,0.0033790122251957655,0.06389061361551285,0.1666666716337204
costal_cartilages,22475,,backbone,24,dense,24,1,0.9725396037101746,,0.10962069779634476,0.30854105949401855,0.06665036082267761,0.03567107394337654,0.1826086938381195
costal_cartilages,29114,,backbone,16,dense,24,1,0.9286834001541138,,0.039075691252946854,0.20308896899223328,0.021617526188492775,0.07080332189798355,0.18543046712875366
costal_cartilages,29114,,backbone,24,dense,24,1,0.9290148615837097,,0.15671174228191376,0.2634924352169037,0.11151865124702454,0.07176895439624786,0.3614457845687866
costal_cartilages,7603,,backbone,16,dense,24,1,0.8959035277366638,,0.04024624451994896,0.044346701353788376,0.03683990240097046,0.12979386746883392,0.25806450843811035
costal_cartilages,7603,,backbone,24,dense,24,1,0.8786534070968628,,0.11721330881118774,0.15747205913066864,0.09334822744131088,0.09926781803369522,0.39837396144866943
costal_cartilages,19033,,backbone,16,dense,24,1,0.8808761239051819,,0.06953812390565872,0.11930655688047409,0.049069080501794815,0.1311534345149994,0.5075757503509521
costal_cartilages,19033,,backbone,24,dense,24,1,0.8529090285301208,,0.1959415227174759,0.22948984801769257,0.17095082998275757,0.11717528104782104,0.47863250970840454
costal_cartilages,19242,,backbone,16,dense,24,1,0.9355051517486572,,0.06311595439910889,0.15015925467014313,0.03995506837964058,0.10889805853366852,0.24561403691768646
costal_cartilages,19242,,backbone,24,dense,24,1,0.9126079082489014,,0.11389227211475372,0.18352088332176208,0.0825662761926651,0.09240397810935974,0.359183669090271
duodenum,12320,,backbone,16,dense,24,1,0.8677598834037781,,0.013509150594472885,0.043706778436899185,0.00798925943672657,0.14274586737155914,0.02500000037252903
duodenum,12320,,backbone,24,dense,24,1,0.8380178809165955,,0.0004594519850797951,0.005059460178017616,0.00024065289471764117,0.10512739419937134,0.0117647061124444
duodenum,6382,,backbone,16,dense,24,1,0.827392041683197,,0.0,0.0,0.0,0.18958276510238647,0.0
duodenum,6382,,backbone,24,dense,24,1,0.8744570016860962,,0.05788899585604668,0.04327528178691864,0.08740494400262833,0.1552668660879135,0.14000000059604645
duodenum,7371,,backbone,16,dense,24,1,0.9127647876739502,,0.0,0.0,0.0,0.06216541677713394,0.0
duodenum,7371,,backbone,24,dense,24,1,0.8888612985610962,,0.008173679001629353,0.04663499817252159,0.004479389172047377,0.04696481302380562,0.014705882407724857
duodenum,5252,,backbone,16,dense,24,1,0.9861180782318115,,0.0,0.0,0.0,0.14684566855430603,0.0
duodenum,5252,,backbone,24,dense,24,1,0.9782407879829407,,0.017804602161049843,0.07931628823280334,0.010027801617980003,0.1503981500864029,0.04545454680919647
duodenum,7413,,backbone,16,dense,24,1,0.9920111894607544,,0.07240042835474014,0.06345515698194504,0.08428160101175308,0.3410157859325409,0.4482758641242981
duodenum,7413,,backbone,24,dense,24,1,0.9795367121696472,,0.04035153612494469,0.12198854237794876,0.024173906072974205,0.2824283838272095,0.2181818187236786
esophagus,2520,,backbone,16,dense,24,1,0.9976164102554321,,0.04619216546416283,0.08449073135852814,0.03178460896015167,0.20143741369247437,0.1428571492433548
esophagus,2520,,backbone,24,dense,24,1,0.9990187287330627,,0.07303734868764877,0.10141787678003311,0.05706767737865448,0.15182821452617645,0.23076924681663513
esophagus,4743,,backbone,16,dense,24,1,0.8895043134689331,,0.027403872460126877,0.019532572478055954,0.0459013432264328,0.18037009239196777,0.40625
esophagus,4743,,backbone,24,dense,24,1,0.8633458018302917,,0.11353711783885956,0.14525139331817627,0.09318996220827103,0.1526254415512085,0.3870967626571655
